Challenges by corridor (percentages),Neighborhood-wide
Legal Costs / Business Insurance,5%
Health Insurance / Medical Costs,6%
Other,6%
Access to Government Contracts,8%
Finding Skilled workers,8%
Property Taxes,8%
Government Regulations / Fines / Tickets,10%
Storefront Improvements,12%
Labor Costs,13%
Marketing / Advertising costs,17%
Electric / Water / Utiility bills,20%
Access to Loans / Credit / Financing,21%
Commercial Rent / Lease,21%
Lack of Parking / Transit,27%
Low Foot Traffic,30%
Crime / Safety,49%
